web-scraper-order,web-scraper-start-url,Channel Info,Influence Score,Followers,Avg_Likes,Posts,60-Day Eng Rate,New Post Avg_Likes,Total Likes,Country Or Region
"1700689302-202","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","","","","","","","","",""
"1700689302-203","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","1cristianoFree","92","612.6m","8.9m","3.6k","1.1%","6.5m","31.7b","Spain"
"1700689302-204","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","2leomessiFree","90","493.1m","7.6m","1.1k","1.0%","4.6m","8.7b",""
"1700689302-205","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","3selenagomezFree","93","430.1m","6.7m","2.0k","1.0%","4.1m","13.1b","United States"
"1700689302-206","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","4kyliejennerFree","91","398.9m","8.0m","6.9k","0.7%","2.9m","54.9b","United States"
"1700689302-207","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","5therock","91","392.8m","1.7m","7.5k","0.3%","982.9k","12.5b","United States"
"1700689302-208","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","6arianagrandeFree","92","381.0m","3.7m","144","0.8%","2.9m","534.1m","United States"
"1700689302-209","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","7kimkardashianFree","91","364.2m","3.3m","6.0k","0.4%","1.6m","20.1b","United States"
"1700689302-210","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","8beyonce","92","318.9m","3.2m","2.2k","0.5%","1.7m","7.2b","United States"
"1700689302-211","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","9khloekardashian","89","311.8m","2.4m","4.4k","0.2%","572.0k","10.4b","United States"
"1700689302-212","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","10nike","90","306.7m","232.6k","1.3k","0.1%","178.3k","301.4m","United States"
"1700689302-213","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","11kendalljennerFree","90","294.6m","5.6m","567","1.3%","3.7m","3.2b","United States"
"1700689302-214","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","12justinbieberFree","91","292.9m","1.9m","7.4k","0.7%","2.0m","14.4b","Canada"
"1700689302-215","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","13natgeo","91","283.7m","268.2k","10.0k","0.0%","121.5k","2.7b","United States"
"1700689302-216","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","14taylorswiftFree","96","277.3m","3.3m","618","2.7%","7.5m","2.0b","United States"
"1700689302-217","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","15virat.kohli","87","264.4m","3.9m","1.6k","0.8%","2.2m","6.4b",""
"1700689302-218","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","16nickiminaj","90","228.2m","1.8m","6.6k","0.4%","995.2k","11.8b","United States"
"1700689302-219","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","17kourtneykardash","89","224.8m","1.8m","4.5k","0.7%","1.6m","8.1b","United States"
"1700689302-220","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","18neymarjr","90","216.6m","3.1m","5.5k","2.2%","4.8m","16.9b","Brazil"
"1700689302-221","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","19mileycyrus","89","215.7m","1.3m","1.3k","0.5%","1.1m","1.8b",""
"1700689302-222","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","20katyperry","92","206.7m","641.4k","2.3k","0.1%","151.8k","1.5b",""
"1700689302-223","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","21zendaya","87","185.1m","6.4m","3.5k","3.0%","5.6m","22.3b","United States"
"1700689302-224","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","22kevinhart4real","88","179.4m","438.9k","8.9k","0.1%","138.7k","3.9b","United States"
"1700689302-225","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","23iamcardib","75","169.0m","3.0m","1.7k","0.7%","1.2m","5.2b","United States"
"1700689302-226","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","24kingjames","86","159.0m","2.0m","2.5k","0.4%","681.6k","4.9b",""
"1700689302-227","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","25ddlovato","88","157.6m","963.3k","196","0.3%","533.7k","188.8m","United States"
"1700689302-228","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","26badgalririFree","88","152.7m","3.8m","4.9k","0.8%","1.3m","18.8b","United States"
"1700689302-229","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","27realmadrid","90","147.8m","996.9k","9.8k","0.5%","723.9k","9.8b","Spain"
"1700689302-230","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","28chrisbrownofficial","86","144.6m","455.4k","7.5k","0.2%","334.9k","3.4b","United States"
"1700689302-231","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","29champagnepapi","85","144.3m","1.8m","409","1.1%","1.6m","716.5m","Netherlands"
"1700689302-232","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","30theellenshow","87","139.8m","343.5k","9.9k","0.0%","47.7k","3.4b","United States"
"1700689302-233","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","31fcbarcelona","90","124.6m","1.1m","10.0k","0.7%","849.1k","11.2b",""
"1700689302-234","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","32billieeilishFree","73","110.2m","7.9m","838","2.7%","2.9m","6.6b",""
"1700689302-235","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","33k.mbappe","86","110.1m","2.7m","1.3k","1.9%","2.1m","3.5b",""
"1700689302-236","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","34gal_gadot","85","109.5m","1.2m","1.8k","0.3%","320.3k","2.3b","United States"
"1700689302-237","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","35vindiesel","88","101.8m","1.4m","2.0k","0.5%","520.0k","2.7b","United States"
"1700689302-238","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","36lalalalisa_m","70","98.8m","6.9m","1.0k","7.4%","7.3m","7.0b",""
"1700689302-239","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","37nasa","88","96.9m","1.3m","4.0k","0.8%","748.0k","5.0b","United States"
"1700689302-240","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","38priyankachopra","85","89.9m","1.5m","3.8k","0.8%","694.5k","5.6b","United States"
"1700689302-241","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","39Shakira","88","89.8m","1.3m","2.2k","1.1%","1.0m","2.8b",""
"1700689302-242","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","40dualipa","74","88.5m","2.1m","22","1.3%","1.2m","46.5m","United Kingdom"
"1700689302-243","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","41davidbeckham","86","85.8m","1.2m","1.8k","1.5%","1.3m","2.1b","United States"
"1700689302-244","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","42shraddhakapoor","81","84.5m","1.7m","2.0k","1.9%","1.6m","3.3b",""
"1700689302-245","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","43nbaFree","87","84.1m","336.1k","65.9k","0.2%","173.8k","22.2b","United States"
"1700689302-246","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","44snoopdogg","86","82.9m","206.7k","9.9k","0.2%","181.6k","2.0b",""
"1700689302-247","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","45jennierubyjane","76","82.0m","6.0m","1.1k","6.0%","4.9m","6.4b",""
"1700689302-248","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","46aliaabhatt","82","80.9m","1.9m","2.0k","1.9%","1.6m","3.9b","India"
"1700689302-249","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","47narendramodi","85","80.9m","2.8m","664","2.7%","2.1m","1.8b","India"
"1700689302-250","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","48khaby00","90","80.6m","2.2m","738","1.0%","786.4k","1.6b",""
"1700689302-251","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","49gigihadid","85","79.1m","2.4m","3.4k","2.6%","2.0m","8.0b","United States"
"1700689302-252","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","50katrinakaif","85","78.2m","1.8m","1.1k","1.0%","761.6k","1.9b","India"
"1700689302-253","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","51deepikapadukone","83","77.5m","1.5m","484","2.3%","1.8m","729.2m","India"
"1700689302-254","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","52victoriassecret","88","76.3m","126.9k","3.8k","0.1%","39.6k","487.6m","United States"
"1700689302-255","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","53sooyaaa__","82","76.3m","5.1m","1.1k","5.9%","4.5m","5.4b",""
"1700689302-256","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","54karimbenzema","42","76.0m","1.0m","2.2k","1.8%","1.3m","2.2b","Spain"
"1700689302-257","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","55nehakakkar","84","76.0m","1.3m","182","0.8%","580.5k","237.9m","India"
"1700689302-258","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","56emmawatson","87","75.1m","1.6m","443","0.0%","0","710.2m","United States"
"1700689302-259","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","57ronaldinho","78","74.7m","843.1k","3.2k","0.6%","421.6k","2.7b","Brazil"
"1700689302-260","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","58roses_are_rosie","82","74.5m","4.9m","981","5.2%","3.9m","4.8b",""
"1700689302-261","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","59bts.bighitofficial","78","74.0m","4.0m","1.4k","3.5%","2.6m","5.7b","Uruguay"
"1700689302-262","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","60raffinagita1717","83","73.7m","375.0k","9.4k","0.3%","242.9k","3.5b","Indonesia"
"1700689302-263","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","61shawnmendes","83","73.7m","3.4m","2.6k","0.0%","0","8.7b","Canada"
"1700689302-264","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","62justintimberlake","87","72.1m","602.4k","734","0.4%","308.3k","442.2m","United States"
"1700689302-265","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","63433","79","69.4m","960.8k","13.2k","1.3%","880.7k","12.7b","Netherlands"
"1700689302-266","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","64jacquelienefernandez","85","68.6m","1.1m","2.6k","1.2%","791.0k","2.7b","India"
"1700689302-267","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","65theweeknd","83","68.1m","1.3m","939","1.6%","1.1m","1.2b",""
"1700689302-268","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","66marvel","82","67.9m","319.4k","8.3k","0.2%","111.2k","2.6b","Turkey"
"1700689302-269","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","67beingsalmankhan","76","67.2m","1.5m","1.4k","1.4%","937.1k","2.2b","India"
"1700689302-270","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","68camila_cabello","77","67.1m","1.8m","3.0k","1.2%","810.5k","5.3b","United States"
"1700689302-271","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","69karolg","83","67.0m","4.0m","3.3k","6.8%","4.5m","13.1b","India"
"1700689302-272","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","70akshaykumar","85","66.7m","1.3m","2.2k","0.8%","503.8k","2.8b",""
"1700689302-273","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","71tomholland2013","77","66.5m","5.3m","1.2k","6.1%","4.0m","6.6b",""
"1700689302-274","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","72marcelotwelve","86","66.0m","709.0k","2.9k","0.9%","616.1k","2.1b","Brazil"
"1700689302-275","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","73anushkasharma","85","65.9m","2.1m","1.3k","2.5%","1.6m","2.7b",""
"1700689302-276","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","74psg","86","65.7m","514.0k","10.1k","0.2%","118.0k","5.2b","France"
"1700689302-277","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","75anitta","82","64.8m","858.6k","5.4k","1.0%","639.3k","4.6b","United States"
"1700689302-278","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","76willsmith","82","64.6m","1.3m","1.5k","0.9%","552.7k","2.0b","United States"
"1700689302-279","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","77iamzlatanibrahimovic","86","63.9m","1.4m","973","0.8%","515.5k","1.3b",""
"1700689302-280","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","78maluma","84","63.8m","1.2m","160","2.1%","1.3m","185.2m","Colombia"
"1700689302-281","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","79milliebobbybrown","80","63.6m","4.0m","389","2.0%","1.3m","1.5b","United States"
"1700689302-282","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","80manchesterunited","85","63.2m","394.2k","9.5k","0.4%","223.5k","3.8b","United Kingdom"
"1700689302-283","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","81mosalah","22","63.0m","1.7m","939","2.2%","1.4m","1.6b",""
"1700689302-284","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","82thv","88","62.5m","15.4m","107","13.4%","8.4m","1.7b",""
"1700689302-285","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","83zacefron","86","61.9m","2.2m","688","1.7%","1.1m","1.5b","United States"
"1700689302-286","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","84leonardodicaprio","86","61.9m","353.1k","1.9k","0.2%","100.4k","656.0m",""
"1700689302-287","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","85sergioramos","87","61.6m","1.2m","2.5k","1.9%","1.2m","2.9b",""
"1700689302-288","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","86paulpogba","80","61.5m","1.3m","1.4k","0.0%","0","1.8b","France"
"1700689302-289","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","87bellahadid","79","61.1m","1.2m","478","3.9%","2.4m","575.8m","United Kingdom"
"1700689302-290","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","88dishapatani","74","60.2m","1.5m","2.1k","0.9%","563.8k","3.2b","United States"
"1700689302-291","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","89juventus","87","59.9m","168.9k","9.9k","0.2%","90.9k","1.7b",""
"1700689302-292","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","90whinderssonnunes","79","59.7m","1.5m","3.0k","0.9%","517.9k","4.5b","Brazil"
"1700689302-293","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","91chrishemsworth","86","57.8m","2.2m","1.0k","1.4%","791.6k","2.3b","Australia"
"1700689302-294","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","92paulodybala","85","57.8m","1.8m","1.4k","2.6%","1.5m","2.6b",""
"1700689302-295","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","939gag","86","57.8m","616.4k","33.8k","0.3%","188.3k","20.9b","United States"
"1700689302-296","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","94blackpinkofficial","85","57.6m","1.9m","2.0k","2.1%","1.2m","3.9b",""
"1700689302-297","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","95robertdowneyjr","86","57.2m","2.6m","494","0.8%","450.2k","1.3b","United States"
"1700689302-298","https://socialbook.io/instagram-channel-rank/top-200-instagrammers","96michelleobama","85","57.1m","513.7k","832","0.5%","298.3k","427.4m",""
