Usuario,Puntuación_influence,Seguidores,Media_likes,Posts,Tasa_interacción_60d,Media_Likes_Post_Nuevo,Total_Likes,País,Idioma_principal
cristiano,92.0,612.6m,8.9m,3.6k,1.1%,6.5m,31.7b,Portugal,Inglés
leomessi,90.0,493.1m,7.6m,1.1k,1.0%,4.6m,8.7b,Argentina,Español
selenagomez,93.0,430.1m,6.7m,2.0k,1.0%,4.1m,13.1b,Estados Unidos,Inglés
kyliejenner,91.0,398.9m,8.0m,6.9k,0.7%,2.9m,54.9b,Estados Unidos,Inglés
therock,91.0,392.8m,1.7m,7.5k,0.3%,982.9k,12.5b,Estados Unidos,Inglés
arianagrande,92.0,381.0m,3.7m,144,0.8%,2.9m,534.1m,Estados Unidos,Inglés
kimkardashian,91.0,364.2m,3.3m,6.0k,0.4%,1.6m,20.1b,Estados Unidos,Inglés
beyonce,92.0,318.9m,3.2m,2.2k,0.5%,1.7m,7.2b,Estados Unidos,Inglés
khloekardashian,89.0,311.8m,2.4m,4.4k,0.2%,572.0k,10.4b,Estados Unidos,Inglés
nike,90.0,306.7m,232.6k,1.3k,0.1%,178.3k,301.4m,Estados Unidos,Inglés
kendalljenner,90.0,294.6m,5.6m,567,1.3%,3.7m,3.2b,Estados Unidos,Inglés
justinbieber,91.0,292.9m,1.9m,7.4k,0.7%,2.0m,14.4b,Canada,Inglés
natgeo,91.0,283.7m,268.2k,10.0k,0.0%,121.5k,2.7b,Estados Unidos,Inglés
taylorswift,96.0,277.3m,3.3m,618,2.7%,7.5m,2.0b,Estados Unidos,Inglés
virat.kohli,87.0,264.4m,3.9m,1.6k,0.8%,2.2m,6.4b,India,Inglés
nickiminaj,90.0,228.2m,1.8m,6.6k,0.4%,995.2k,11.8b,Estados Unidos,Inglés
kourtneykardash,89.0,224.8m,1.8m,4.5k,0.7%,1.6m,8.1b,Estados Unidos,Inglés
neymarjr,90.0,216.6m,3.1m,5.5k,2.2%,4.8m,16.9b,Brasil,Portugés
mileycyrus,89.0,215.7m,1.3m,1.3k,0.5%,1.1m,1.8b,Estados Unidos,Inglés
katyperry,92.0,206.7m,641.4k,2.3k,0.1%,151.8k,1.5b,Estados Unidos,Inglés
zendaya,87.0,185.1m,6.4m,3.5k,3.0%,5.6m,22.3b,Estados Unidos,Inglés
kevinhart4real,88.0,179.4m,438.9k,8.9k,0.1%,138.7k,3.9b,Estados Unidos,Inglés
iamcardib,75.0,169.0m,3.0m,1.7k,0.7%,1.2m,5.2b,Estados Unidos,Inglés
kingjames,86.0,159.0m,2.0m,2.5k,0.4%,681.6k,4.9b,Estados Unidos,Inglés
ddlovato,88.0,157.6m,963.3k,196,0.3%,533.7k,188.8m,Estados Unidos,Inglés
badgalriri,88.0,152.7m,3.8m,4.9k,0.8%,1.3m,18.8b,Estados Unidos,Inglés
realmadrid,90.0,147.8m,996.9k,9.8k,0.5%,723.9k,9.8b,España,Inglés
