Puntuación_influence,Seguidores,Media_likes,Posts,Tasa_interacción_60d,Media_Likes_Post_Nuevo,Total_Likes,País,Idioma_principal,Total_interacciones
92.0,612600000,8900000,3600,1.1,6500000,31700000000,Portugal,Inglés,6738600.0
90.0,493100000,7600000,1100,1.0,4600000,8700000000,Argentina,Español,4931000.0
93.0,430100000,6700000,2000,1.0,4099999,13100000000,Estados Unidos,Inglés,4301000.0
91.0,398900000,8000000,6900,0.7,2900000,54900000000,Estados Unidos,Inglés,2792300.0
91.0,392800000,1700000,7500,0.3,982900,12500000000,Estados Unidos,Inglés,1178400.0
92.0,381000000,3700000,144,0.8,2900000,534100000,Estados Unidos,Inglés,3048000.0
91.0,364200000,3300000,6000,0.4,1600000,20100000000,Estados Unidos,Inglés,1456800.0
92.0,318900000,3200000,2200,0.5,1700000,7200000000,Estados Unidos,Inglés,1594500.0
89.0,311800000,2400000,4400,0.2,572000,10400000000,Estados Unidos,Inglés,623600.0
90.0,306700000,232600,1300,0.1,178300,301400000,Estados Unidos,Inglés,306700.0
90.0,294600000,5600000,567,1.3,3700000,3200000000,Estados Unidos,Inglés,3829800.0
91.0,292900000,1900000,7400,0.7,2000000,14400000000,Canada,Inglés,2050300.0
91.0,283700000,268200,10000,0.0,121500,2700000000,Estados Unidos,Inglés,0.0
96.0,277300000,3300000,618,2.7,7500000,2000000000,Estados Unidos,Inglés,7487100.0
87.0,264399999,3900000,1600,0.8,2200000,6400000000,India,Inglés,2115199.992
90.0,228200000,1800000,6600,0.4,995200,11800000000,Estados Unidos,Inglés,912800.0
89.0,224800000,1800000,4500,0.7,1600000,8100000000,Estados Unidos,Inglés,1573600.0
90.0,216600000,3100000,5500,2.2,4800000,16899999999,Brasil,Portugés,4765200.000000001
89.0,215700000,1300000,1300,0.5,1100000,1800000000,Estados Unidos,Inglés,1078500.0
92.0,206700000,641400,2300,0.1,151800,1500000000,Estados Unidos,Inglés,206700.0
87.0,185100000,6400000,3500,3.0,5600000,22300000000,Estados Unidos,Inglés,5553000.0
88.0,179400000,438900,8900,0.1,138700,3900000000,Estados Unidos,Inglés,179400.0
75.0,169000000,3000000,1700,0.7,1200000,5200000000,Estados Unidos,Inglés,1182999.9999999998
86.0,159000000,2000000,2500,0.4,681600,4900000000,Estados Unidos,Inglés,636000.0
88.0,157600000,963300,196,0.3,533700,188800000,Estados Unidos,Inglés,472800.0
88.0,152700000,3800000,4900,0.8,1300000,18800000000,Estados Unidos,Inglés,1221600.0
90.0,147800000,996900,9800,0.5,723900,9800000000,España,Inglés,739000.0
86.0,144600000,455400,7500,0.2,334900,3400000000,Estados Unidos,Inglés,289200.0
85.0,144300000,1800000,409,1.1,1600000,716500000,Holanda,Inglés,1587300.0
87.0,139800000,343500,9900,0.0,47700,3400000000,Estados Unidos,Inglés,0.0
90.0,124600000,1100000,10000,0.7,849100,11200000000,España,Inglés,872200.0
73.0,110200000,7900000,838,2.7,2900000,6600000000,Estados Unidos,Inglés,2975400.0
86.0,110100000,2700000,1300,1.9,2100000,3500000000,Francia,Francés,2091900.0
85.0,109500000,1200000,1800,0.3,320300,2300000000,Estados Unidos,Inglés,328500.0
88.0,101800000,1400000,2000,0.5,520000,2700000000,Estados Unidos,Inglés,509000.0
70.0,98800000,6900000,1000,7.4,7300000,7000000000,Tailandia,Inglés,7311200.0
88.0,96900000,1300000,4000,0.8,748000,5000000000,Estados Unidos,Inglés,775200.0
85.0,89900000,1500000,3800,0.8,694500,5600000000,Estados Unidos,Inglés,719200.0
88.0,89800000,1300000,2200,1.1,1000000,2800000000,Colombia,Español,987800.0000000001
74.0,88500000,2100000,22,1.3,1200000,46500000,Reino Unido,Inglés,1150500.0
86.0,85800000,1200000,1800,1.5,1300000,2100000000,Estados Unidos,Inglés,1287000.0
81.0,84500000,1700000,2000,1.9,1600000,3300000000,India,Inglés,1605500.0
87.0,84100000,336100,65900,0.2,173800,22200000000,Estados Unidos,Inglés,168200.0
86.0,82900000,206700,9900,0.2,181600,2000000000,Estados Unidos,Inglés,165800.0
76.0,82000000,6000000,1100,6.0,4900000,6400000000,Corea del Sur,Inglés,4920000.0
82.0,80900000,1900000,2000,1.9,1600000,3900000000,India,Inglés,1537100.0
85.0,80900000,2800000,664,2.7,2100000,1800000000,India,Inglés,2184300.0
90.0,80600000,2200000,738,1.0,786400,1600000000,Italia,Inglés,806000.0
85.0,79100000,2400000,3400,2.6,2000000,8000000000,Estados Unidos,Inglés,2056600.0
85.0,78200000,1800000,1100,1.0,761600,1900000000,India,Inglés,782000.0
83.0,77500000,1500000,484,2.3,1800000,729200000,India,Inglés,1782500.0
88.0,76300000,126900,3800,0.1,39600,487600000,Estados Unidos,Inglés,76300.0
82.0,76300000,5100000,1100,5.9,4500000,5400000000,Corea del Sur,Inglés,4501700.0
42.0,76000000,1000000,2200,1.8,1300000,2200000000,España,Francés,1368000.0
84.0,76000000,1300000,182,0.8,580500,237900000,India,Inglés,608000.0
87.0,75100000,1600000,443,0.0,0,710200000,Estados Unidos,Inglés,0.0
78.0,74700000,843100,3200,0.6,421600,2700000000,Brasil,Portugés,448200.0
82.0,74500000,4900000,981,5.2,3900000,4800000000,Nueva Zelanda,Inglés,3874000.0
78.0,74000000,4000000,1400,3.5,2600000,5700000000,Uruguay,Inglés,2590000.0
83.0,73700000,375000,9400,0.3,242900,3500000000,Indonesia,Indonesio,221100.0
83.0,73700000,3400000,2600,0.0,0,8700000000,Canada,Inglés,0.0
87.0,72100000,602400,734,0.4,308300,442200000,Estados Unidos,Inglés,288400.0
79.0,69400000,960800,13200,1.3,880700,12700000000,Holanda,Inglés,902200.0
85.0,68600000,1100000,2600,1.2,791000,2700000000,India,Inglés,823200.0
83.0,68100000,1300000,939,1.6,1100000,1200000000,Canada,Inglés,1089600.0
82.0,67900000,319400,8300,0.2,111200,2600000000,Turquía,Inglés,135800.0
76.0,67200000,1500000,1400,1.4,937100,2200000000,India,Inglés,940800.0
77.0,67099999,1800000,3000,1.2,810500,5300000000,Estados Unidos,Inglés,805199.988
83.0,67000000,4000000,3300,6.8,4500000,13100000000,India,Español,4556000.0
85.0,66700000,1300000,2200,0.8,503800,2800000000,India,Inglés,533600.0
77.0,66500000,5300000,1200,6.1,4000000,6600000000,Reino Unido,Inglés,4056500.0
86.0,66000000,709000,2900,0.9,616100,2100000000,Brasil,Portugés,594000.0
85.0,65900000,2100000,1300,2.5,1600000,2700000000,India,Inglés,1647500.0
86.0,65700000,514000,10100,0.2,118000,5200000000,Francia,Inglés,131400.0
82.0,64800000,858600,5400,1.0,639300,4600000000,Estados Unidos,Español,648000.0
82.0,64599999,1300000,1500,0.9,552700,2000000000,Estados Unidos,Inglés,581399.991
86.0,63900000,1400000,973,0.8,515500,1300000000,Suecia,Inglés,511200.0
84.0,63800000,1200000,160,2.1,1300000,185200000,Colombia,Español,1339800.0
80.0,63600000,4000000,389,2.0,1300000,1500000000,Estados Unidos,Inglés,1272000.0
85.0,63200000,394200,9500,0.4,223500,3800000000,Reino Unido,Inglés,252800.0
22.0,63000000,1700000,939,2.2,1400000,1600000000,Egipto,Inglés,1386000.0
88.0,62500000,15400000,107,13.4,8400000,1700000000,Corea del Sur,Inglés,8375000.0
86.0,61900000,2200000,688,1.7,1100000,1500000000,Estados Unidos,Inglés,1052300.0
86.0,61900000,353100,1900,0.2,100400,656000000,Estados Unidos,Inglés,123800.0
87.0,61600000,1200000,2500,1.9,1200000,2900000000,España,Español,1170400.0
